old_fqn,new_fqn,reason
choice_test::canonical_choice_cascades_ex_then_select_and_resolves_without_start,choice_test::canonical_cascade_tests::canonical_choice_cascades_ex_then_select_and_resolves_without_start,theme_split
choice_test::canonical_choice_ex_value_short_circuits_select,choice_test::canonical_cascade_tests::canonical_choice_ex_value_short_circuits_select,theme_split
choice_test::choice_stage_failure_continues_as_204_without_fault_termination,choice_test::stage_failure_tests::choice_stage_failure_continues_as_204_without_fault_termination,theme_split
choice_test::non_choice_failure_during_choice_wait_still_faults,choice_test::stage_failure_tests::non_choice_failure_during_choice_wait_still_faults,theme_split
choice_test::choosing_rides_pump_status_while_waiting_then_clears_after_resolution,choice_test::choosing_status_tests::choosing_rides_pump_status_while_waiting_then_clears_after_resolution,theme_split
choice_test::choice_timeout_fires_then_204_cancels_and_rejects_later_choice,choice_test::timeout_tests::choice_timeout_fires_then_204_cancels_and_rejects_later_choice,theme_split
choice_test::choice_timeout_value_replaces_talk_via_existing_start_path,choice_test::timeout_tests::choice_timeout_value_replaces_talk_via_existing_start_path,theme_split
choice_test::one_choice_injection_yields_a_single_cascade_and_later_injections_are_rejected,choice_test::rejection_tests::one_choice_injection_yields_a_single_cascade_and_later_injections_are_rejected,theme_split
choice_test::choice_outside_the_candidate_set_is_rejected_and_keeps_the_wait_open,choice_test::rejection_tests::choice_outside_the_candidate_set_is_rejected_and_keeps_the_wait_open,theme_split
mouse_test::onmousemove_layout_matches_events_table,mouse_test::event_layout_tests::onmousemove_layout_matches_events_table,theme_split
mouse_test::onmousemove_region_none_ref4_empty,mouse_test::event_layout_tests::onmousemove_region_none_ref4_empty,theme_split
mouse_test::double_click_ref5_left_right,mouse_test::event_layout_tests::double_click_ref5_left_right,theme_split
mouse_test::no_content_produces_no_start_talk,mouse_test::event_layout_tests::no_content_produces_no_start_talk,theme_split
mouse_test::phase_ignore_before_boot_no_mouse_get,mouse_test::phase_guard_tests::phase_ignore_before_boot_no_mouse_get,theme_split
mouse_test::phase_ignore_during_close_series_no_mouse_get,mouse_test::phase_guard_tests::phase_ignore_during_close_series_no_mouse_get,theme_split
mouse_test::pending_close_guard_suppresses_mouse_get,mouse_test::phase_guard_tests::pending_close_guard_suppresses_mouse_get,theme_split
mouse_test::mouse_value_from_steady_none_starts_talk,mouse_test::talk_start_tests::mouse_value_from_steady_none_starts_talk,theme_split
mouse_test::active_talk_mouse_value_replaces_with_new_talk_id,mouse_test::talk_start_tests::active_talk_mouse_value_replaces_with_new_talk_id,theme_split
mouse_test::active_talk_non_mouse_pump_is_notify_no_replacement_dd6_preserved,mouse_test::talk_start_tests::active_talk_non_mouse_pump_is_notify_no_replacement_dd6_preserved,theme_split
mouse_test::mixed_mouse_and_second_change_talk_ids_are_monotonic,mouse_test::talk_start_tests::mixed_mouse_and_second_change_talk_ids_are_monotonic,theme_split
close_test::close_refused_resumes_pump_then_terminates_via_resumed_talk,close_test::handshake_tests::close_refused_resumes_pump_then_terminates_via_resumed_talk,theme_split
close_test::silent_close_on_204_terminates_without_extra_events,close_test::handshake_tests::silent_close_on_204_terminates_without_extra_events,theme_split
close_test::close_talk_deadline_exceeded_terminates_without_talkdone,close_test::handshake_tests::close_talk_deadline_exceeded_terminates_without_talkdone,theme_split
close_test::force_quit_terminates_directly_with_best_effort_onclose_notify,close_test::handshake_tests::force_quit_terminates_directly_with_best_effort_onclose_notify,theme_split
close_test::boot_greeting_active_tick_emits_notify_talking,close_test::boot_greeting_tests::boot_greeting_active_tick_emits_notify_talking,theme_split
close_test::boot_greeting_talkdone_resumes_get_pump,close_test::boot_greeting_tests::boot_greeting_talkdone_resumes_get_pump,theme_split
close_test::boot_greeting_close_during_greeting_uses_close_handshake,close_test::boot_greeting_tests::boot_greeting_close_during_greeting_uses_close_handshake,theme_split
