old_fqn,new_fqn,reason
placement::follow::tests::project_anchor_degrades_to_identity_on_missing_snapshot_or_nonpositive_size,placement::follow::anchor_tests::project_anchor_degrades_to_identity_on_missing_snapshot_or_nonpositive_size,theme_split
placement::follow::tests::project_anchor_resolves_per_crossed_monitor,placement::follow::anchor_tests::project_anchor_resolves_per_crossed_monitor,theme_split
placement::follow::tests::project_anchor_is_idempotent_at_anchor_aligned_positions,placement::follow::anchor_tests::project_anchor_is_idempotent_at_anchor_aligned_positions,theme_split
placement::follow::tests::anchored_component_attaches_and_reads_back_on_window_entity,placement::follow::anchor_tests::anchored_component_attaches_and_reads_back_on_window_entity,theme_split
placement::follow::tests::on_char_drag_writes_only_policy_applied_positions,placement::follow::drag_tests::on_char_drag_writes_only_policy_applied_positions,theme_split
placement::follow::tests::on_char_drag_left_anchor_pins_left_edge_and_keeps_y,placement::follow::drag_tests::on_char_drag_left_anchor_pins_left_edge_and_keeps_y,theme_split
placement::follow::tests::on_char_drag_resnaps_to_crossed_monitor_bottom,placement::follow::drag_tests::on_char_drag_resnaps_to_crossed_monitor_bottom,theme_split
placement::follow::tests::on_char_drag_free_window_stays_wndproc_delegated,placement::follow::drag_tests::on_char_drag_free_window_stays_wndproc_delegated,theme_split
placement::follow::tests::on_char_drag_without_anchored_stays_wndproc_delegated,placement::follow::drag_tests::on_char_drag_without_anchored_stays_wndproc_delegated,theme_split
placement::follow::tests::on_char_drag_balloon_follows_policy_applied_position,placement::follow::drag_tests::on_char_drag_balloon_follows_policy_applied_position,theme_split
placement::follow::tests::on_char_drag_end_applies_policy_at_final_cursor,placement::follow::drag_tests::on_char_drag_end_applies_policy_at_final_cursor,theme_split
placement::follow::tests::on_char_drag_end_tunnel_phase_is_ignored,placement::follow::drag_tests::on_char_drag_end_tunnel_phase_is_ignored,theme_split
placement::follow::tests::on_char_drag_end_persists_char_pos_for_scope,placement::follow::drag_tests::on_char_drag_end_persists_char_pos_for_scope,theme_split
placement::follow::tests::on_char_drag_end_persists_free_anchor_raw_position_for_scope,placement::follow::drag_tests::on_char_drag_end_persists_free_anchor_raw_position_for_scope,theme_split
placement::follow::tests::non_dragend_operations_leave_persist_store_byte_invariant,placement::follow::drag_tests::non_dragend_operations_leave_persist_store_byte_invariant,theme_split
placement::follow::tests::drag_handlers_ignore_events_targeting_other_entities,placement::follow::drag_tests::drag_handlers_ignore_events_targeting_other_entities,theme_split
placement::follow::tests::on_char_drag_without_snapshot_moves_to_raw_position,placement::follow::drag_tests::on_char_drag_without_snapshot_moves_to_raw_position,theme_split
placement::follow::tests::on_char_drag_with_invalid_size_degrades_to_identity,placement::follow::drag_tests::on_char_drag_with_invalid_size_degrades_to_identity,theme_split
placement::follow::tests::on_char_drag_without_dragging_state_is_noop_for_snap_window,placement::follow::drag_tests::on_char_drag_without_dragging_state_is_noop_for_snap_window,theme_split
placement::follow::tests::on_balloon_drag_tunnel_phase_is_ignored,placement::follow::balloon_drag_tests::on_balloon_drag_tunnel_phase_is_ignored,theme_split
placement::follow::tests::on_balloon_drag_updates_offset_and_char_window_is_unmoved,placement::follow::balloon_drag_tests::on_balloon_drag_updates_offset_and_char_window_is_unmoved,theme_split
placement::follow::tests::move_window_to_after_balloon_drag_follows_adjusted_offset,placement::follow::balloon_drag_tests::move_window_to_after_balloon_drag_follows_adjusted_offset,theme_split
placement::follow::tests::on_char_drag_after_balloon_drag_pins_y_and_follows_adjusted_offset,placement::follow::balloon_drag_tests::on_char_drag_after_balloon_drag_pins_y_and_follows_adjusted_offset,theme_split
placement::follow::tests::on_balloon_drag_updates_only_matching_scope_offset,placement::follow::balloon_drag_tests::on_balloon_drag_updates_only_matching_scope_offset,theme_split
placement::follow::tests::on_balloon_drag_without_positions_is_graceful,placement::follow::balloon_drag_tests::on_balloon_drag_without_positions_is_graceful,theme_split
placement::follow::tests::on_balloon_drag_end_persists_balloon_offset_for_scope,placement::follow::drag_end_persist_tests::on_balloon_drag_end_persists_balloon_offset_for_scope,theme_split
